"Taxa","PSP3B.bayes.Moisture","PSP3NB.bayes.Moisture","RA20CL21B.bayes.Moisture","RA20CL21NB.bayes.Moisture","RAWL20B.bayes.Moisture","RAWL20NB.bayes.Moisture","CLEM21B.bayes.Moisture","CLEM21NB.bayes.Moisture","CLEM22B.bayes.Moisture","CLEM22NB.bayes.Moisture","PSP3B.bayes.Protein.NMC","PSP3NB.bayes.Protein.NMC","RA20CL21B.bayes.Protein.NMC","RA20CL21NB.bayes.Protein.NMC","RAWL20B.bayes.Protein.NMC","RAWL20NB.bayes.Protein.NMC","CLEM21B.bayes.Protein.NMC","CLEM21NB.bayes.Protein.NMC","CLEM22B.bayes.Protein.NMC","CLEM22NB.bayes.Protein.NMC","PSP3B.bayes.Protein.MC","PSP3NB.bayes.Protein.MC","RA20CL21B.bayes.Protein.MC","RA20CL21NB.bayes.Protein.MC","RAWL20B.bayes.Protein.MC","RAWL20NB.bayes.Protein.MC","CLEM21B.bayes.Protein.MC","CLEM21NB.bayes.Protein.MC","CLEM22B.bayes.Protein.MC","CLEM22NB.bayes.Protein.MC","PSP3B.bayes.SAA.NMC","PSP3NB.bayes.SAA.NMC","RA20CL21B.bayes.SAA.NMC","RA20CL21NB.bayes.SAA.NMC","RAWL20B.bayes.SAA.NMC","RAWL20NB.bayes.SAA.NMC","CLEM21B.bayes.SAA.NMC","CLEM21NB.bayes.SAA.NMC","PSP3B.bayes.SAA.MC","PSP3NB.bayes.SAA.MC","RA20CL21B.bayes.SAA.MC","RA20CL21NB.bayes.SAA.MC","RAWL20B.bayes.SAA.MC","RAWL20NB.bayes.SAA.MC","CLEM21B.bayes.SAA.MC","CLEM21NB.bayes.SAA.MC","PSP3B.bayes.Fiber.NMC","PSP3NB.bayes.Fiber.NMC","RA20CL21B.bayes.Fiber.NMC","RA20CL21NB.bayes.Fiber.NMC","RAWL20B.bayes.Fiber.NMC","RAWL20NB.bayes.Fiber.NMC","CLEM21B.bayes.Fiber.NMC","CLEM21NB.bayes.Fiber.NMC","CLEM22B.bayes.Fiber.NMC","CLEM22NB.bayes.Fiber.NMC","PSP3B.bayes.Fiber.MC","PSP3NB.bayes.Fiber.MC","RA20CL21B.bayes.Fiber.MC","RA20CL21NB.bayes.Fiber.MC","RAWL20B.bayes.Fiber.MC","RAWL20NB.bayes.Fiber.MC","CLEM21B.bayes.Fiber.MC","CLEM21NB.bayes.Fiber.MC","CLEM22B.bayes.Fiber.MC","CLEM22NB.bayes.Fiber.MC","PSP3B.bayes.T_starch.NMC","PSP3NB.bayes.T_starch.NMC","RA20CL21B.bayes.T_starch.NMC","RA20CL21NB.bayes.T_starch.NMC","RAWL20B.bayes.T_starch.NMC","RAWL20NB.bayes.T_starch.NMC","CLEM21B.bayes.T_starch.NMC","CLEM21NB.bayes.T_starch.NMC","CLEM22B.bayes.T_starch.NMC","CLEM22NB.bayes.T_starch.NMC","PSP3B.bayes.T_starch.MC","PSP3NB.bayes.T_starch.MC","RA20CL21B.bayes.T_starch.MC","RA20CL21NB.bayes.T_starch.MC","RAWL20B.bayes.T_starch.MC","RAWL20NB.bayes.T_starch.MC","CLEM21B.bayes.T_starch.MC","CLEM21NB.bayes.T_starch.MC","CLEM22B.bayes.T_starch.MC","CLEM22NB.bayes.T_starch.MC","PSP3B.bayes.R_starch.NMC","PSP3NB.bayes.R_starch.NMC","RA20CL21B.bayes.R_starch.NMC","RA20CL21NB.bayes.R_starch.NMC","RAWL20B.bayes.R_starch.NMC","RAWL20NB.bayes.R_starch.NMC","CLEM21B.bayes.R_starch.NMC","CLEM21NB.bayes.R_starch.NMC","CLEM22B.bayes.R_starch.NMC","CLEM22NB.bayes.R_starch.NMC","PSP3B.bayes.R_starch.MC","PSP3NB.bayes.R_starch.MC","RA20CL21B.bayes.R_starch.MC","RA20CL21NB.bayes.R_starch.MC","RAWL20B.bayes.R_starch.MC","RAWL20NB.bayes.R_starch.MC","CLEM21B.bayes.R_starch.MC","CLEM21NB.bayes.R_starch.MC","CLEM22B.bayes.R_starch.MC","CLEM22NB.bayes.R_starch.MC","PSP3B.bayes.PDg","PSP3NB.bayes.PDg","RA20CL21B.bayes.PDg","RA20CL21NB.bayes.PDg","RAWL20B.bayes.PDg","RAWL20NB.bayes.PDg","CLEM21B.bayes.PDg","CLEM21NB.bayes.PDg","CLEM22B.bayes.PDg","CLEM22NB.bayes.PDg"
"SRR5350215",0.000819703637032895,0.00127737717924888,0.00310761314237962,0.00298286622534454,0.011087929891927,0.0126092870182049,0.00256543880530448,-0.000341396711280578,NA,NA,0.044054423854604,0.0469505703409602,0.034696136605672,0.0315064546248674,0.131532125089104,0.100895523169149,0.000370757220174886,0.000697358270137624,NA,NA,0.101274282763643,0.0943912633617628,0.0817363351866962,0.0819804567081293,0.211710070949982,0.198371993587768,0.000859160048300632,0.000572751430133873,NA,NA,0.00335347108141978,0.00255741136634638,0.00335347108141978,0.00255741136634638,0.00560088178799815,0.00597175209147956,9.61749233002828e-05,1.83893875600786e-05,0.00244732707417372,0.00232203257644096,0.00244732707417372,0.00232203257644096,0.0076744330877299,0.00783703659449696,6.10625688224618e-05,8.88231363002301e-05,0.00114631713862283,0.00224823038161353,0.00160643287902277,0.00152464244973698,0.00568411740383014,0.00570410306604401,-0.00600612077200045,-0.00541115868477946,NA,NA,0.00211884667545662,0.000361943028477756,0.00133738337752221,0.00092657529368042,0.00727299499817311,0.00610353363102951,-0.00447476653260641,-0.00430358166711873,NA,NA,0.0379196862304957,0.0410924834493861,0.0502113646449252,0.0549387338550394,0.0251267115016173,0.0214135328194974,0.0192254516603925,0.0137564562815153,NA,NA,0.042261455211491,0.0449704177183093,0.0550771536881614,0.0648598236851428,0.0295617035882423,0.0263272923432249,0.0205775894524149,0.0196848714118345,NA,NA,-0.000437602219055224,-0.0016107488890929,-0.000220536746077202,-0.00123728559015472,-0.00229001277048087,-0.00361775931530579,0.00846377862495234,0.00656348133702832,NA,NA,-0.00191147825298413,-0.00144789945151027,-0.00132712978501312,-0.000625161115073716,-0.00152089034421259,-0.0022046959246949,0.00406976688876337,0.0027496157695683,NA,NA,0.00651784470653412,0.00577118736787485,0.00534992424287181,0.00553285773018315,0.0182912782291773,0.0124331390273378,0.000122641183325518,4.29451640432158e-05,NA,NA
"SRR5350213",-0.0305371489648781,-0.0329905536084805,-0.0139666045814456,-0.0118890751073245,-0.00739889941198002,-0.00570416085769108,-0.0126867695068198,-0.00360203084527447,-0.0520647999815506,-0.0510541389521922,0.0147967546045189,0.0158205424253223,-0.000996074213960101,0.000662624400137696,-0.00405399439674928,-0.00976548008742505,0.00111365145154019,0.0015844484069576,0.0387212323826429,0.0353548609154283,0.00982719526603046,0.0130000645529399,-0.00442219245042066,-0.00513618663824301,-0.0282188204639764,-0.0260222351333807,0.000811120004648391,0.000198958528348406,0.0134882150160956,0.0120783326591328,0.000555401547955457,0.000397562415550928,0.000555401547955457,0.000397562415550928,0.0266735519512197,0.0265607132240172,-0.000248206371347683,-0.000281909837537474,0.00011203413125017,-3.35932364497676e-05,0.00011203413125017,-3.35932364497676e-05,0.0240272962212261,0.0236434688600779,-0.000254585734934974,-0.000197878594003173,0.0102846727047151,0.0111833282594775,0.00271749253558156,0.00297329063731447,-0.00238065139165238,-0.00199750753239306,0.0198813002902411,0.0150806991404233,0.0385520544921818,0.0283979795597586,0.00701734803606096,0.00760799715639799,0.00297103207170262,0.00195037449247545,-0.00087446352552382,-0.00285773112080022,0.0126536767480093,0.013735006619887,0.0166499430959854,0.0200400507488079,-0.110457409452769,-0.125291228585841,-0.00611667884926332,-0.000921766523689638,-0.114233932158549,-0.114475176954998,0.110061447821602,0.0943511852129882,-0.093807726411948,-0.100290393628671,-0.143945141464846,-0.176682136977449,-0.0265507870678126,-0.0203012583541222,-0.139050486584122,-0.131350889477141,0.102032132146197,0.0912668062290843,-0.145358015014278,-0.137447590350132,0.0114924829751934,0.00899372771631545,0.00272308316657911,0.00339322220892676,-2.354557173621e-05,-4.48847084423693e-05,0.0352992171594074,0.0264694553834199,0.0253745054775022,0.0265368883208737,0.00550824600728071,0.00709303255284615,0.00212935806058632,0.00179735230489651,-0.0013459523341085,-0.000195116814769931,0.025621372495379,0.0206494375052326,0.0153985064471184,0.0163386956363522,0.00086097310652204,0.000986959566550383,9.80476863645202e-05,0.000227166817880656,-0.00102196335152473,-7.59666631319639e-05,5.18460353422648e-05,0.000514252917598434,0.0053806799815445,0.00421410838317228
"SRR5350212",-0.0145381876889831,-0.0100349126356,-0.0261559543564337,-0.0227932376220741,0.00804909479030677,-0.000559157888740737,-0.000244375168756695,-0.0108037452157245,NA,NA,-0.0336153883750994,-0.0333199153020912,-0.027147933303621,-0.0207302878605641,-0.0677605468186697,-0.053730871688572,-0.00211356342928575,-0.00285613943093454,NA,NA,-0.0791334857680892,-0.0785533650051951,-0.0622135826683984,-0.0726136425608171,-0.10290156600749,-0.104768254771488,-0.00549689433102722,-0.00607232305652806,NA,NA,-0.00174056697639268,-0.00142358566505009,-0.00174056697639268,-0.00142358566505009,0.000274448942277761,-0.00135059539022478,-0.000144313271970881,-0.000115613438544729,-0.00247340970010507,-0.00242999221280412,-0.00247340970010507,-0.00242999221280412,-0.00336882661464432,-0.00398312143985795,-8.35145211515678e-05,-4.19348723325884e-05,-0.000718588271018025,0.000619774041668452,0.000290468579468703,-0.000474040785733031,-0.00192745835974969,-0.00156457967904398,0.0050847245357953,0.00523150200724545,NA,NA,-0.000384417264082594,-0.000183226547719354,6.4986761977538e-05,-0.000340982385014126,-0.00468341056846796,-0.00221794973326293,0.00149529215338464,0.000716703508747076,NA,NA,-0.0140990927985333,-0.00861116037926505,-0.0123774324730557,-0.0176594990725427,-0.0804857895567635,-0.0881111716172119,0.0687042709666369,0.0412131711889453,NA,NA,-0.0307769267716164,-0.036576022250028,-0.0446749696579168,-0.0548550429969843,-0.083236605157841,-0.0847196412849762,0.0363519471051886,0.0280582248220285,NA,NA,-0.0132405165375874,-0.0125379760214787,-0.00590861487859438,-0.00640556685142703,-0.00827302995737043,-0.00658200873536048,-0.00803053851174951,-0.00479385805627969,NA,NA,-0.0131833749212818,-0.0110014153167504,-0.00689433564214871,-0.00649211528911504,-0.00863367450003826,-0.00638088869760335,-0.00904108259850035,-0.00691168804845518,NA,NA,-0.00290135224411052,-0.00249131694567324,-0.002413633991414,-0.00163544399856453,-0.00976749957966522,-0.00655694369638404,0.000310527200706878,0.000267322970169167,NA,NA
"SRR5350211",0.00327665891905574,0.00449348942916183,0.0104101227334619,0.00678730248305503,-0.00212408904596861,-0.00209839676862471,0.0152116909460193,0.00392683306980359,NA,NA,0.00393361341493445,0.00649194653708233,0.00573521106349166,0.00471230845134777,-0.00433987249050037,-0.0154785437483901,0.00419435821455105,0.0049423984830355,NA,NA,0.0220682440665467,0.0212183890073273,0.0112642438447576,0.0162651024656414,-0.0362674149236958,-0.0297009695077417,0.00746278110786828,0.00580038913173087,NA,NA,0.00548972248911138,0.00523172246389801,0.00548972248911138,0.00523172246389801,-0.0306531203059492,-0.0300699774749843,0.0012101062906443,0.000694981745356086,0.00479173945160518,0.00481716417910399,0.00479173945160518,0.00481716417910399,-0.0284254811889098,-0.0286339025408925,0.00113711687879217,0.000726559482602679,-0.0012790329419067,-0.00297482201175795,-0.00163170270935145,-0.00150260422890879,-0.00629635017231909,-0.0045969338127741,0.00333972132155176,0.00255003885532317,NA,NA,-0.00257771711785401,-0.00347692663425461,-0.000675777692355181,-0.00213238045576433,-0.00849770388321728,-0.00671155251137653,0.00114918306473013,0.0022054334533572,NA,NA,0.000942521077852894,-0.00331003946083831,-0.00838804716542139,-0.000242782071928295,0.0599276770966539,0.0498289709209254,-0.0815788971688156,-0.0443850083248413,NA,NA,0.00403472577450758,0.00522499711531072,-0.0108274542052789,0.00302182085057725,0.0529709650083846,0.0496704442491772,-0.0749790556152265,-0.0547687621994823,NA,NA,0.0136294233375902,0.0114719483629157,0.00575966315325752,0.00675171454716929,0.00302862997457365,0.00197994662826854,0.0437101578229426,0.0311557362879756,NA,NA,0.0113494292286525,0.00898176718716531,0.00815617894202449,0.00625470476902777,0.00252831914935008,0.00270173289883396,0.0355573138374199,0.0244935889293176,NA,NA,-0.000448187083523518,-0.000282841518754052,-8.29171837475037e-05,-0.000358129569325978,-0.00145257272600753,-1.27889498325957e-05,0.000323166229874069,0.000351230459710622,NA,NA
"SRR5350210",-0.00158234285128861,-0.000784610033852444,-0.00882198704746049,-0.00779566322297413,0.0487306212943618,0.0435981507847359,-0.00191555128083587,-0.00900658077108679,0.00732849524531069,0.00692830940422328,-0.00276213318624072,-0.00555853357949079,-0.00958376276381032,-0.00819521248334945,-0.0199662693105331,-0.0223220500166676,-0.000730508978138377,-0.000825261434763856,0.0166306318005918,0.0123586181351597,-0.0124339039489079,-0.0116274325377856,-0.0227672113913133,-0.0283179118022995,-0.0342342136971432,-0.0364714817805636,-0.0026712086423233,-0.00162395872706372,0.011867709320103,0.00954080402646968,0.00575698103691487,0.00580606960846785,0.00575698103691487,0.00580606960846785,0.0475709536157804,0.0472907981705554,-0.000432704664654568,-0.000258165037952695,0.00553411436047038,0.00539931283789028,0.00553411436047038,0.00539931283789028,0.0462084137983664,0.0453841919246792,-0.000258196064251104,-0.000268043657098174,-0.00303236030124481,-0.00515291912094969,-0.00615146568633632,-0.0081132148471103,-0.00741334538716623,-0.0082043513269166,-0.00677434892082646,-0.00434541169860167,0.0559230722674995,0.0411250970195601,-0.00226881430549683,-0.00301013456054448,-0.00603971271498008,-0.00678372135519236,-0.00755419808095793,-0.00783400171223888,-0.00647959087609511,-0.00591300115466946,0.037766553369561,0.0400370489551619,0.00812943379934153,0.00407940041759249,-0.0194511140704571,-0.0265882271729191,0.160959066523551,0.15020901725367,-0.226994122110204,-0.168499422545894,0.0179307043264377,0.0176322223302554,0.00252165464185894,0.0138537982478227,-0.0303246345286602,-0.0349372016091174,0.19877139515596,0.157533749218117,-0.325857000656684,-0.283475938626073,0.0317746076139685,0.0226013106373462,-0.0247020937969182,-0.0207884515995129,-0.00839319838260824,-0.00832163673014056,-0.00854767277236881,-0.00757973517353372,-0.0307189347982827,-0.0193208206779829,-0.00297432318171459,-0.00456108285518791,-0.017065272426319,-0.0158820047503383,-0.00889099600873549,-0.00862571793284817,-0.00602581271752765,-0.00704700213758736,-0.0254729167755647,-0.0183460924755223,-0.00426864173978338,-0.00217277127802048,-0.00176810190707328,-0.00113436897221448,-0.00338444914176145,-0.00182222896827205,-0.00927906610598492,-0.00710437459124233,0.000347800017914984,0.000327363627943047,0.00401731705151158,0.00251049084203351
"SRR5350209",0.00464539445130143,0.00524922898244611,0.0144194349671971,0.00794847497127388,0.00364408550647042,0.00710924601385758,-0.00897855127508034,0.00331173381189792,NA,NA,0.00133264825337758,0.00357422832669205,0.00112974297805709,0.00301149691515104,0.0347323221160028,0.0228688008071901,-0.00180412608725726,-0.00245357305894434,NA,NA,0.0133734184271796,0.0109763435599402,0.00503208685697096,0.0076838790925649,0.0441823390404617,0.0517419826110299,-0.00135886474047554,-0.00157653751020492,NA,NA,-0.00315373503601461,-0.00340075333018709,-0.00315373503601461,-0.00340075333018709,-0.029885969923622,-0.0290939770896524,5.57301382725002e-05,3.69785442095912e-05,-0.00290270828769927,-0.0028587717656974,-0.00290270828769927,-0.0028587717656974,-0.0287179775678515,-0.0287124697306944,0.000103679738729449,5.14739939704997e-05,-0.0029982115699732,-0.00330783938375537,-0.000829230438722868,-0.00221652185695053,-0.00106934596923009,-0.000351124495541925,-0.00438049763089558,-0.00408652043933624,NA,NA,-0.00246397556459408,-0.0017866382668892,-0.00115548242626962,-0.00112710027979822,-0.000234394528062636,-0.00010885150142766,-0.00405536618280846,-0.00473428029674243,NA,NA,0.00625072385898399,0.00065345804006991,0.00583947318944778,0.000814592770791224,-0.0182561846887193,-0.0201658675302635,0.025779720028668,0.0228293774436114,NA,NA,0.01221120074186,0.0143349061284565,0.0234208835636136,0.0212611458056579,-0.0130871575875386,-0.0138369987203557,0.0532903523626924,0.0514007042390649,NA,NA,0.0271241373615046,0.0240944746126384,0.0116109895286684,0.0132685770137374,0.00966695147149174,0.00844904860078565,0.044803977977269,0.0302131678765881,NA,NA,0.0231860323159456,0.0210825789757841,0.0114265363115224,0.0107216247820711,0.00894466881031064,0.00757291338972339,0.0419014088515306,0.0268739526321821,NA,NA,-2.35059560040117e-05,-7.63015647768149e-05,-6.28532916666891e-05,9.91514313675051e-05,0.00609212874263914,0.00557433461017172,-0.00333023117950202,-0.00327237531591258,NA,NA
"SRR5350208",-0.0128897011055923,-0.0102511850128798,-0.0230588451512379,-0.0178726508984399,-0.0528713948353761,-0.0550357584157685,0.00576062747915456,-0.00074781461533668,NA,NA,-0.000837591527501969,-0.00161446713877214,-0.000595534102867935,-0.000493357908066048,-0.00728329613565393,-0.0088644026088772,0.000666858329145302,9.21195564498409e-05,NA,NA,-0.0157945242475407,-0.0108841840637697,-0.00635057874724579,-0.0109158792661653,-0.0426532119827556,-0.0365185083020114,0.00043140037156808,8.4107069672366e-05,NA,NA,0.00276851697781809,0.00311037733455667,0.00276851697781809,0.00311037733455667,-0.00783699383035041,-0.00736859089146873,0.000272302911818726,0.000276233106847996,0.00247144427765786,0.00214587864360147,0.00247144427765786,0.00214587864360147,-0.00863906514389578,-0.00862956333930177,0.000306496303761574,0.000287166949684973,9.96784174204489e-05,-0.000269307155466388,-0.000543578434537674,-0.000101225710014135,-0.000388919831988471,-0.000931976235172185,0.00148276929518663,0.000408512747592693,NA,NA,-0.00232794689605324,-0.000928523400205197,-9.29096384113376e-05,-0.0008307088128962,-0.00088504267601947,-0.00161325651454065,0.00129001529860959,-0.000202040288328659,NA,NA,0.0126888756873996,0.0177286186020336,0.0148841986259565,0.0161011275812682,0.0182259218225662,0.013852931962517,0.00324632586596036,0.0048469082305862,NA,NA,0.00181456018446494,0.00591431708127189,-0.0003580725301179,0.00465339052317802,-0.0005628842468271,0.00304838432736447,-0.000416362486656841,-0.00251421509520611,NA,NA,0.0212908809491336,0.0198737884787103,0.00889706262853301,0.00928156018200566,0.000391355579479301,0.000908391917350079,0.113432339191174,0.0832029008706458,NA,NA,0.0159744084948472,0.0125499324081247,0.0107886325609805,0.00858439081330225,0.000386397021284632,0.000154836714678215,0.0886037732325652,0.0723883261775852,NA,NA,-1.96185954239654e-05,0.000208744736549055,9.50196107888245e-05,0.000122774974337736,0.00749005360401833,0.00502134908871205,-0.00226550205744742,-0.00199004954846068,NA,NA
"SRR5350207",0.0644944250773942,0.0599620363105474,0.122168448420737,0.106770532848566,0.102102327240688,0.0999488101191047,0.0121242568333168,0.0296827940327858,NA,NA,-0.00269158046166907,-0.00551643941403297,-0.00280310703592929,-0.0012935769218413,0.00142844950402252,0.00662387599133153,-0.00330835215865513,-0.00294958295952851,NA,NA,0.0194232396746887,0.0226080845035482,0.0151914449433855,0.0165408127146665,0.0484145080886486,0.0457946489554989,-0.000385189745806575,-0.000227130765008825,NA,NA,-0.00809776331110206,-0.00769696551799612,-0.00809776331110206,-0.00769696551799612,-0.0342831685289848,-0.0344965851396954,-6.58560859913166e-05,-1.6792228588556e-05,-0.00642995559425383,-0.00600815883514577,-0.00642995559425383,-0.00600815883514577,-0.0318247441706929,-0.0320036383045059,4.33926886302436e-05,7.47966572151421e-06,0.0010141452139363,0.00166354664697765,0.000831847125497158,0.000817066305640471,0.0018437909773141,0.00324069550902251,-0.000766077277308964,-0.00259088207627071,NA,NA,0.00522452936636648,0.0040356219811696,0.00321093558672058,0.00340959338906597,0.00409017379001781,0.00466592931026202,0.00273169424976286,0.00258765182039209,NA,NA,0.171727230944199,0.18129304354931,0.194096410139156,0.190647567875061,0.124836155398061,0.127271396779683,0.0830568758165937,0.0665145165903354,NA,NA,0.264050629851905,0.268293944021344,0.279977083641075,0.333024218256674,0.167864996113567,0.141948740514963,0.188474384796786,0.163617455416761,NA,NA,0.00308123218507672,0.00275425015216902,0.000365968605642119,0.00211812888128716,0.00750621984226655,0.00830200247711049,-0.04515675305506,-0.0331036759570625,NA,NA,0.00359732620050665,0.00533970030834033,0.00290342716384844,0.00258788752872593,0.00874412806914815,0.00843576364138969,-0.034983595525875,-0.020395572756024,NA,NA,-0.00319255380571988,-0.00186354275979845,-0.00301223743614863,-0.00187807753560571,-0.00218738929553927,-0.00136924556037527,-0.00254841095749197,-0.00257869766881743,NA,NA
"SRR5350206",-0.00882868521315023,-0.00563134442023431,-0.0134506100498521,-0.0104630151344765,-0.0219688974468004,-0.0226555360969833,-0.0133158273388768,-0.00105637509081987,NA,NA,-0.0252793532539605,-0.0242527620135348,-0.0214721326120794,-0.0183664754426763,-0.00162254591511256,-0.00939503283416157,-0.0085409533289432,-0.00799821236313714,NA,NA,-0.0719149493722691,-0.0601176405148114,-0.0494588088981184,-0.0542726213972421,-0.0329238151481348,-0.0200030504114017,-0.00977250843799375,-0.0100474794337768,NA,NA,0.00852748079444814,0.00856179154905725,0.00852748079444814,0.00856179154905725,-0.0200744422294031,-0.0196169036395508,0.00118566460452131,0.000938577168005591,0.00582927048590866,0.00654132226171112,0.00582927048590866,0.00654132226171112,-0.0206751152536096,-0.0206401918073481,0.00114244704974898,0.000936648710123493,-0.00666541162609829,-0.0091160890236884,-0.00599241600242483,-0.00563731241088349,-0.00119860905291763,-0.000351871731213875,-0.0163434490197578,-0.0170585835983724,NA,NA,-0.00803773271983523,-0.00764364187811873,-0.0056202508748275,-0.00410308749054549,-0.000742859933361158,-0.000360098993992317,-0.0109065535280155,-0.0159261428593903,NA,NA,-0.125449442021602,-0.132825372861181,-0.129344890638409,-0.145584705606805,-0.121976849012191,-0.121481975546782,-0.0184462463823368,-0.0085170225995259,NA,NA,-0.139240615557362,-0.145113682867337,-0.157652672758008,-0.163976515058982,-0.147672185511427,-0.130363572159999,-0.0352822646894536,-0.0267615013244827,NA,NA,-0.0221055216350064,-0.0187980866016029,-0.0122086935049166,-0.0111052391538866,-0.0152219492445468,-0.014971407638121,0.000412294411043971,1.36620330596065e-06,NA,NA,-0.0212713918424867,-0.014909456218907,-0.0120806509728733,-0.00866476952988759,-0.0143310699295378,-0.0129313576798687,-0.000754775163729526,-0.000170814826120965,NA,NA,-0.000498245452505505,-0.000138073357949093,1.79579616705047e-06,-0.000417330358794242,0.00659169148319743,0.00504286921296416,-0.00253591091187432,-0.00174133180587636,NA,NA
"SRR5350205",0.00509093523181192,0.00679540274942126,0.0103627856741636,0.00930441712331818,-0.00345916861285983,-0.00478962493589991,0.0191099385321274,0.0054394955060453,NA,NA,0.0165784564766246,0.018664909504295,0.0139887324706382,0.0111568835471134,0.0176604151669675,0.00906483321578147,0.00392617963775696,0.00367039879788737,NA,NA,0.0533009692022302,0.0472920833755126,0.03267032396281,0.0334786884636945,0.0151541445151675,0.0267197148474251,0.00463657350486284,0.00491673479452847,NA,NA,-0.0126219203138045,-0.0122406229114351,-0.0126219203138045,-0.0122406229114351,-0.0285653697556122,-0.0287450516047935,-0.000977862737127909,-0.000664460252935611,-0.011375976786591,-0.0107922684548465,-0.011375976786591,-0.0107922684548465,-0.0288231594248156,-0.0284748898642013,-0.000748628658180894,-0.00054749080176742,0.000372097299369679,1.08583294335542e-06,0.000339135081978823,-0.0003071940238852,-0.000756422691761755,-0.00321736037295842,0.00609026400236237,0.00375690070801256,NA,NA,0.00107258592660745,0.0008845769426894,0.000829975144552505,0.000154952867895978,-0.00203871961943871,-0.00349792399040023,0.00476432301812301,0.005066592178331,NA,NA,0.0524635825966687,0.0426537812782771,0.0474943632426726,0.0602287836082792,0.0784499435256062,0.0674879103351288,-0.00636869028800374,-0.00507069578495936,NA,NA,0.0625022249519596,0.0544135071695272,0.0735124185243619,0.0852098388859678,0.0747822907988694,0.0573541040850695,-0.000187500250529906,0.00215055200310738,NA,NA,0.0085174659655854,0.00566390418566649,0.0043920790802173,0.0026262727916068,-0.000470242148016923,-0.000964620588396387,0.0487535937009216,0.0386941433369961,NA,NA,0.00678227698513139,0.00461748877355833,0.00316834410553324,0.00330785861900775,-0.000487994370042935,-0.00022738170793822,0.0437078993771976,0.031154338343092,NA,NA,-0.00239734926982474,-0.00244615461871669,-0.00196579426770257,-0.00209956467321374,-0.00872051847870852,-0.00701969376963472,-3.04759001449726e-05,0.000262772573607152,NA,NA
