ENV,Year,Location,PLOT,BLOCK,Plot_ID,GENO,ID,Moisture_per,Protein_unadjusted,SAA_unadjusted,Dietary_Fiber_unadjusted,Total_Starch_unadjusted,Resistance_Starch_unadjusted,Protein_15per_DB_Moisture,SAA_15per_DB_Moisture,Dietary_Fiber_15per_DB_Moisture,Total_Starch_15per_DB_Moisture,Resistance_Starch_15per_DB_Moisture,Protein_digestibility_per
RAWL20,2020,RAWL,5240,2,RS20PSP5240,285740,SRR5350038,7.304704284,19.3,0.2359,23.01,55.82,5.67,18.01,0.22,21.47,52.09,5.29,84
RAWL20,2020,RAWL,5223,2,RS20PSP5223,222071,SRR5350128,6.679585399,20.21,0.2752,23.37,53.29,6.12,18.75,0.26,21.68,49.43,5.68,85
RAWL20,2020,RAWL,6010,3,RS20PSP6010,429849,SRR5349956,7.993333937,19.72,0.265,23.43,49.27,5.84,18.52,0.25,22,46.27,5.48,84
RAWL20,2020,RAWL,4253,1,RS20PSP4253,12723,SRR5349861,9.273011858,19.88,0.2664,23.49,52.79,6.29,18.89,0.25,22.32,50.16,5.98,85
RAWL20,2020,RAWL,4278,1,RS20PSP4278,270536,SRR5350081,8.144443647,19.62,0.2746,22.92,50.32,6.08,18.45,0.26,21.55,47.32,5.72,84
RAWL20,2020,RAWL,4188,1,RS20PSP4188,269804,SRR5350086,8.235378181,19.42,0.1842,25.25,51.65,6.76,18.28,0.17,23.76,48.62,6.36,85
RAWL20,2020,RAWL,4292,1,RS20PSP4292,409031,SRR5349968,7.91196968,20.25,0.2767,23.83,53.68,7.58,19,0.26,22.36,50.37,7.11,85
RAWL20,2020,RAWL,4138,1,RS20PSP4138,274307,SRR5350065,10.02559577,21.01,0.2234,25.83,50.17,7.29,20.1,0.21,24.71,48,6.98,86
RAWL20,2020,RAWL,5180,2,RS20PSP5180,280616,SRR5350050,10.88411386,19.69,0.277,26.43,49.1,6.38,18.99,0.27,25.48,47.34,6.15,85
RAWL20,2020,RAWL,5112,2,RS20PSP5112,220189,SRR5350130,7.939372275,20.44,0.2163,24.02,52.76,7.42,19.19,0.2,22.55,49.53,6.96,85
RAWL20,2020,RAWL,6152,3,RS20PSP6152,220174,SRR5350131,9.310216788,20.09,0.2976,24.87,54,6.03,19.1,0.28,23.64,51.33,5.74,85
RAWL20,2020,RAWL,4213,1,RS20PSP4213,15028,SRR5349854,7.865268999,19.93,0.2566,24.33,49.06,6.13,18.69,0.24,22.82,46.02,5.75,85
RAWL20,2020,RAWL,5176,2,RS20PSP5176,203069,SRR5350146,8.644088084,19.92,0.2774,22.2,52.1,7.07,18.82,0.26,20.97,49.22,6.68,84
RAWL20,2020,RAWL,6084,3,RS20PSP6084,324702,SRR5350021,8.170238146,20.12,0.26,24.11,56.95,6.4,18.93,0.24,22.68,53.57,6.02,84
RAWL20,2020,RAWL,6049,3,RS20PSP6049,269761,SRR5350094,7.549811641,18.3,0.2994,20.06,56.74,5.3,17.11,0.28,18.76,53.06,4.95,84
RAWL20,2020,RAWL,5050,2,RS20PSP5050,166159,SRR5350184,6.398339531,19.91,0.2504,22.75,55.93,5.66,18.42,0.23,21.05,51.75,5.24,84
RAWL20,2020,RAWL,6038,3,RS20PSP6038,343292,SRR5350014,7.457340598,21.12,0.2725,23.97,51.3,7.47,19.73,0.25,22.4,47.93,6.98,84
CLEM21,2021,CLEM,2132,2,PSP20CU2132,288263,NA,7.448756469,19.69,0.27,23.92,50.65,5.59,18.4,0.25,22.35,47.33,5.22,85
RAWL20,2020,RAWL,4170,1,RS20PSP4170,272184,SRR5350072,7.019086695,20.97,0.2764,25.08,52.05,7.49,19.51,0.26,23.34,48.44,6.97,85
RAWL20,2020,RAWL,4140,1,RS20PSP4140,263014,SRR5350099,4.913624175,19.06,0.2772,22.77,52.63,6.71,17.39,0.25,20.77,48.01,6.12,84
CLEM21,2021,CLEM,1260,1,PSP20CU1260,288263,NA,6.337737763,20.48,0.2738,25.8,48.74,6.74,18.94,0.25,23.86,45.07,6.23,85
RAWL20,2020,RAWL,6086,3,RS20PSP6086,166159,SRR5350184,6.821422616,20.42,0.2894,24.64,54.3,9.21,18.97,0.27,22.89,50.44,8.56,85
RAWL20,2020,RAWL,4119,1,RS20PSP4119,274308,SRR5350064,5.208525101,20.1,0.3131,24.33,56.78,6.53,18.39,0.29,22.26,51.95,5.98,84
RAWL20,2020,RAWL,6141,3,RS20PSP6141,222071,SRR5350128,6.633820857,21.53,0.2737,25.26,53.38,5.15,19.96,0.25,23.42,49.5,4.77,85
RAWL20,2020,RAWL,4294,1,RS20PSP4294,280609,SRR5350054,6.851814111,19.51,0.2729,25.55,52.79,6.18,18.13,0.25,23.74,49.05,5.74,85
CLEM21,2021,CLEM,1204,1,PSP20CU1204,175231,SRR5350179,5.601219657,20.51,0.1535,26.19,51.39,6.7,18.83,0.14,24.05,47.19,6.15,85
CLEM21,2021,CLEM,2216,2,PSP20CU2216,285740,SRR5350038,6.433960387,20.95,0.2477,25.4,53.89,5.57,19.39,0.23,23.51,49.87,5.16,85
RAWL20,2020,RAWL,6132,3,RS20PSP6132,17293,SRR5349847,4.78717061,20.76,0.3648,26.46,48.66,6.83,18.92,0.33,24.11,44.34,6.22,85
RAWL20,2020,RAWL,5028,2,RS20PSP5028,429849,SRR5349956,9.031177669,20.67,0.2946,26.89,56.12,5.52,19.6,0.28,25.49,53.21,5.23,86
RAWL20,2020,RAWL,5047,2,RS20PSP5047,280609,SRR5350054,6.714258403,20.69,0.2982,23.78,53.61,6.79,19.2,0.28,22.07,49.75,6.31,85
RAWL20,2020,RAWL,6069,3,RS20PSP6069,15028,SRR5349854,6.361483486,21.22,0.2829,26.42,51.84,7.08,19.63,0.26,24.44,47.95,6.55,86
RAWL20,2020,RAWL,4252,1,RS20PSP4252,288263,NA,5.507486178,20.2,0.244,25.67,52.13,5.64,18.53,0.22,23.55,47.83,5.18,85
CLEM21,2021,CLEM,2009,2,PSP20CU2009,261671,SRR5350101,5.756429896,21.3,0.2689,24.75,49.74,7.63,19.59,0.25,22.76,45.75,7.02,85
CLEM21,2021,CLEM,1275,1,PSP20CU1275,269762,SRR5350093,6.025675682,20.49,0.2706,22.94,55,7.25,18.89,0.25,21.15,50.71,6.68,84
RAWL20,2020,RAWL,4056,1,RS20PSP4056,280626,SRR5350047,6.463119482,19.35,0.276,27.02,53.57,5.66,17.91,0.26,25.01,49.6,5.24,85
RAWL20,2020,RAWL,6012,3,RS20PSP6012,280609,SRR5350054,8.477524624,21.13,0.1291,24.64,50.19,7.2,19.93,0.12,23.24,47.35,6.79,85
CLEM22,2022,CLEM,1002,1,PSP.22CU.1002,505062,SRR5349946,6.999366903,20.99,NA,24.37,53.47,6.07,19.53,NA,22.67,49.75,5.65,85
CLEM22,2022,CLEM,1003,1,PSP.22CU.1003,269761,SRR5350094,6.514980302,20.93,NA,24.23,54.3,5.86,19.39,NA,22.44,50.29,5.43,85
CLEM22,2022,CLEM,1004,1,PSP.22CU.1004,270536,SRR5350081,5.672003667,21.37,NA,27.23,56.78,6.4,19.64,NA,25.02,52.18,5.88,86
CLEM22,2022,CLEM,1005,1,PSP.22CU.1005,280609,SRR5350054,6.870461295,20.43,NA,24.57,53.38,6.32,18.99,NA,22.83,49.61,5.88,85
CLEM22,2022,CLEM,1006,1,PSP.22CU.1006,413685,SRR5349963,5.54692078,20.11,NA,23.21,52.79,6.57,18.46,NA,21.3,48.45,6.03,84
CLEM22,2022,CLEM,1007,1,PSP.22CU.1007,280614,SRR5350051,7.079982836,21.26,NA,25.93,51.39,7.69,19.8,NA,24.14,47.85,7.16,85
CLEM22,2022,CLEM,1010,1,PSP.22CU.1010,430702,SRR5349955,7.828434279,20.8,NA,23.23,53.89,4.36,19.5,NA,21.78,50.53,4.09,84
CLEM22,2022,CLEM,1012,1,PSP.22CU.1012,250446,SRR5350111,4.386227024,19.54,NA,23.25,48.66,6.05,17.74,NA,21.1,44.17,5.49,84
CLEM22,2022,CLEM,1014,1,PSP.22CU.1014,280616,SRR5350050,5.430392738,21.24,NA,25.24,56.12,6.12,19.47,NA,23.14,51.45,5.61,85
CLEM22,2022,CLEM,1016,1,PSP.22CU.1016,272184,SRR5350072,5.518131764,20.54,NA,25.2,53.61,6.16,18.85,NA,23.12,49.19,5.65,84
CLEM22,2022,CLEM,1017,1,PSP.22CU.1017,393489,SRR5349971,5.809715608,20.64,NA,25.6,51.84,5.44,18.99,NA,23.55,47.7,5.01,85
CLEM22,2022,CLEM,1018,1,PSP.22CU.1018,306591,SRR5350031,6.645425321,19.79,NA,23.4,52.13,6.6,18.35,NA,21.7,48.34,6.12,84
CLEM22,2022,CLEM,1021,1,PSP.22CU.1021,324697,SRR5350023,5.39488707,20.45,NA,23.23,55.08,6.42,18.74,NA,21.29,50.48,5.88,85
CLEM22,2022,CLEM,1022,1,PSP.22CU.1022,639969,SRR5349930,7.177754943,20.04,NA,24.82,51.13,7.69,18.68,NA,23.13,47.65,7.17,84
CLEM22,2022,CLEM,1023,1,PSP.22CU.1023,280626,SRR5350047,7.279279505,20.57,NA,25.31,51.69,4.75,19.19,NA,23.61,48.22,4.43,85
CLEM22,2022,CLEM,1024,1,PSP.22CU.1024,269798,SRR5350088,7.43572468,20.49,NA,26.55,53.44,6.84,19.14,NA,24.8,49.93,6.39,85
CLEM22,2022,CLEM,1026,1,PSP.22CU.1026,285710,SRR5350046,7.359650513,21.61,NA,26.16,56.33,6.72,20.17,NA,24.42,52.59,6.28,84
CLEM22,2022,CLEM,1028,1,PSP.22CU.1028,203069,SRR5350146,5.559255239,20.79,NA,24.76,56.37,8,19.08,NA,22.73,51.74,7.34,84
CLEM22,2022,CLEM,1029,1,PSP.22CU.1029,314795,SRR5350027,6.322045084,20.23,NA,24.15,54.04,6.23,18.7,NA,22.33,49.96,5.76,84
CLEM22,2022,CLEM,1032,1,PSP.22CU.1032,324702,SRR5350021,5.816911695,19.14,NA,24.85,50.89,6.25,17.61,NA,22.87,46.83,5.75,85
CLEM22,2022,CLEM,1034,1,PSP.22CU.1034,639977,SRR5349927,5.38462931,20.53,NA,23.13,52.28,2.52,18.81,NA,21.2,47.91,2.31,84
CLEM22,2022,CLEM,1035,1,PSP.22CU.1035,227258,SRR5350126,5.761097854,20.08,NA,23.57,53.03,5.87,18.47,NA,21.68,48.77,5.4,85
CLEM22,2022,CLEM,1037,1,PSP.22CU.1037,143485,SRR5350198,5.919110374,20.34,NA,24.5,53.62,5.09,18.73,NA,22.57,49.39,4.69,85
CLEM22,2022,CLEM,1038,1,PSP.22CU.1038,274307,SRR5350065,7.337801278,20.89,NA,22.08,55.21,6.42,19.5,NA,20.61,51.54,5.99,85
CLEM22,2022,CLEM,1039,1,PSP.22CU.1039,269777,SRR5350092,5.161868651,20.09,NA,25.94,55.16,6.29,18.37,NA,23.72,50.44,5.75,84
